"service","year","month","rows","status","run_tag","ts_utc","error"
"green",2021,5,"88180","OK","ingesta_20251110_043934","2025-11-10T08:55:39Z",""
"green",2021,6,"86737","OK","ingesta_20251110_043934","2025-11-10T08:55:41Z",""
"green",2021,7,"83691","OK","ingesta_20251110_043934","2025-11-10T08:55:45Z",""
"green",2021,8,"83499","OK","ingesta_20251110_043934","2025-11-10T08:55:48Z",""
"green",2021,9,"95709","OK","ingesta_20251110_043934","2025-11-10T08:55:51Z",""
"green",2021,10,"110891","OK","ingesta_20251110_043934","2025-11-10T08:55:54Z",""
"green",2021,11,"108229","OK","ingesta_20251110_043934","2025-11-10T08:55:58Z",""
"green",2021,12,"99961","OK","ingesta_20251110_043934","2025-11-10T08:56:02Z",""
"green",2022,1,"62495","OK","ingesta_20251110_043934","2025-11-10T08:56:05Z",""
"green",2022,2,"69399","OK","ingesta_20251110_043934","2025-11-10T08:56:08Z",""
"green",2022,3,"78537","OK","ingesta_20251110_043934","2025-11-10T08:56:11Z",""
"green",2022,4,"76136","OK","ingesta_20251110_043934","2025-11-10T08:56:15Z",""
"green",2022,5,"76891","OK","ingesta_20251110_043934","2025-11-10T08:56:18Z",""
"green",2022,6,"73718","OK","ingesta_20251110_043934","2025-11-10T08:56:23Z",""
"green",2022,7,"64192","OK","ingesta_20251110_043934","2025-11-10T08:56:29Z",""
"green",2022,8,"65929","OK","ingesta_20251110_043934","2025-11-10T08:56:33Z",""
"green",2022,9,"69031","OK","ingesta_20251110_043934","2025-11-10T08:56:38Z",""
"green",2022,10,"69322","OK","ingesta_20251110_043934","2025-11-10T08:56:41Z",""
"green",2022,11,"62313","OK","ingesta_20251110_043934","2025-11-10T08:56:44Z",""
"green",2022,12,"72439","OK","ingesta_20251110_043934","2025-11-10T08:56:47Z",""
"green",2023,1,"68211","OK","ingesta_20251110_043934","2025-11-10T08:56:50Z",""
"green",2023,2,"64809","OK","ingesta_20251110_043934","2025-11-10T08:56:53Z",""
"green",2023,3,"72044","OK","ingesta_20251110_043934","2025-11-10T08:56:56Z",""
"green",2023,4,"65392","OK","ingesta_20251110_043934","2025-11-10T08:56:59Z",""
"green",2023,5,"69174","OK","ingesta_20251110_043934","2025-11-10T08:57:01Z",""
"green",2023,6,"65550","OK","ingesta_20251110_043934","2025-11-10T08:57:05Z",""
"green",2023,7,"61343","OK","ingesta_20251110_043934","2025-11-10T08:57:08Z",""
"green",2023,8,"60649","OK","ingesta_20251110_043934","2025-11-10T08:57:11Z",""
"green",2023,9,"65471","OK","ingesta_20251110_043934","2025-11-10T08:57:14Z",""
"green",2023,10,"66177","OK","ingesta_20251110_043934","2025-11-10T08:57:17Z",""
"green",2023,11,"64025","OK","ingesta_20251110_043934","2025-11-10T08:57:19Z",""
"green",2023,12,"64215","OK","ingesta_20251110_043934","2025-11-10T08:57:21Z",""
"green",2024,1,"56551","OK","ingesta_20251110_043934","2025-11-10T08:57:24Z",""
"green",2024,2,"53577","OK","ingesta_20251110_043934","2025-11-10T08:57:26Z",""
"green",2024,3,"57457","OK","ingesta_20251110_043934","2025-11-10T08:57:28Z",""
"green",2024,4,"56471","OK","ingesta_20251110_043934","2025-11-10T08:57:30Z",""
"green",2024,5,"61003","OK","ingesta_20251110_043934","2025-11-10T08:57:33Z",""
"green",2024,6,"54748","OK","ingesta_20251110_043934","2025-11-10T08:57:35Z",""
"green",2024,7,"51837","OK","ingesta_20251110_043934","2025-11-10T08:57:37Z",""
"green",2024,8,"51771","OK","ingesta_20251110_043934","2025-11-10T08:57:39Z",""
"green",2024,9,"54440","OK","ingesta_20251110_043934","2025-11-10T08:57:41Z",""
"green",2024,10,"56147","OK","ingesta_20251110_043934","2025-11-10T08:57:43Z",""
"green",2024,11,"52222","OK","ingesta_20251110_043934","2025-11-10T08:57:46Z",""
"green",2024,12,"53994","OK","ingesta_20251110_043934","2025-11-10T08:57:48Z",""
yellow,2015,3,ERROR,0,ingesta_20251110_171501,2025-11-10T17:21:03.390035,"Column CBD_CONGESTION_FEE not found in schema Some(StructType(StructField(VendorID,IntegerType,true),StructField(tpep_pickup_datetime,TimestampType,true),StructField(tpep_dropoff_datetime,TimestampType,true),StructField(passenger_count,IntegerType,true),StructField(trip_distance,DoubleType,true),StructField(RatecodeID,IntegerType,true),StructField(store_and_fwd_flag,StringType,true),StructField(PULocationID,IntegerType,true),StructField(DOLocationID,IntegerType,true),StructField(payment_type,Int"
yellow,2021,1,ERROR,0,ingesta_20251110_171501,2025-11-10T17:21:06.663836,"Column CBD_CONGESTION_FEE not found in schema Some(StructType(StructField(VendorID,IntegerType,true),StructField(tpep_pickup_datetime,TimestampType,true),StructField(tpep_dropoff_datetime,TimestampType,true),StructField(passenger_count,IntegerType,true),StructField(trip_distance,DoubleType,true),StructField(RatecodeID,IntegerType,true),StructField(store_and_fwd_flag,StringType,true),StructField(PULocationID,IntegerType,true),StructField(DOLocationID,IntegerType,true),StructField(payment_type,Int"
yellow,2025,1,ERROR,0,ingesta_20251110_171501,2025-11-10T17:21:11.988453,"Column CBD_CONGESTION_FEE not found in schema Some(StructType(StructField(VendorID,IntegerType,true),StructField(tpep_pickup_datetime,TimestampType,true),StructField(tpep_dropoff_datetime,TimestampType,true),StructField(passenger_count,IntegerType,true),StructField(trip_distance,DoubleType,true),StructField(RatecodeID,IntegerType,true),StructField(store_and_fwd_flag,StringType,true),StructField(PULocationID,IntegerType,true),StructField(DOLocationID,IntegerType,true),StructField(payment_type,Int"
